Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Loop Detection,Easy,What is a loop (cycle) in a linked list?,A node pointing to a node that appears later in the sequence.,"A node pointing back to a previous node, creating an infinite sequence.",Two nodes pointing to the same node.,The last node pointing to NULL.,B
Loop Detection,Easy,Which of the following is the most common and efficient algorithm to detect a loop in a linked list?,Linear Search,Binary Search,Floyd's Cycle Detection Algorithm (Tortoise and Hare),Two-Pointer Technique for Sorting,C
Loop Detection,Easy,"In Floyd's Cycle Detection algorithm, if a loop exists, what happens to the slow and fast pointers?",They never meet.,They meet at the head node.,They are guaranteed to meet at some point within the loop.,The fast pointer becomes NULL.,C
Loop Detection,Easy,What is the primary consequence of a loop in a singly linked list?,The list becomes doubly linked.,Traversing the list becomes impossible and may never terminate.,The list automatically sorts itself.,Memory is automatically deallocated.,B
Loop Detection,Easy,"In Floyd’s algorithm, what does the fast pointer typically do?",Moves one node at a time.,Moves two nodes at a time.,Moves to the middle of the list.,Points to the head of the list.,B
Loop Detection,Easy,"If a linked list has no cycle, what will the fast pointer eventually point to in Floyd's algorithm?",The slow pointer,The head,NULL,The tail,C
Loop Detection,Easy,"Besides Floyd's algorithm, what is another simple method to detect a loop?",Reversing the list,Using a Hash Set to store visited node addresses,Counting the total number of nodes,Swapping adjacent nodes,B
Loop Detection,Easy,What is the space complexity of detecting a loop using a Hash Set approach?,O(1),O(log n),O(n),O(n log n),C
Loop Detection,Easy,"In a linked list with a cycle, what does the next pointer of the node that closes the loop point to?",NULL,A new node,A previous node in the list,The node itself,C
Loop Detection,Easy,What is the time complexity of Floyd's Cycle Detection algorithm?,O(n^2),O(n),O(log n),O(n log n),B
Loop Detection,Medium,"After detecting a loop using Floyd's algorithm, how do you find the starting node of the loop?",Reset slow to head and move both pointers one step until they meet.,Move the fast pointer one step at a time until it meets the slow pointer.,Increment the fast pointer's speed.,The meeting point itself is the start of the loop.,A
Loop Detection,Medium,"In Floyd's algorithm, if the slow and fast pointers meet at a node inside the loop, what is the distance from the head to the start of the loop equal to?",The distance from the meeting point to the start of the loop.,Twice the length of the loop.,The length of the loop.,Half the length of the list.,A
Loop Detection,Medium,What is the primary advantage of Floyd's Cycle Detection algorithm over the Hash Set method?,It works on doubly linked lists only.,It has a better time complexity (O(log n)).,It has a constant space complexity (O(1)).,It can detect the exact node where the loop starts immediately.,C
Loop Detection,Medium,What will happen if you try to traverse a linked list containing a loop without any detection mechanism?,The program will crash immediately.,The traversal will enter an infinite loop.,The list will be automatically repaired.,The traversal will stop at the duplicate node.,B
Loop Detection,Medium,Consider a singly linked list: 1->2->3->4->5->3 (where 5 points back to 3). What is the length of the loop?,2,3,4,5,B
Loop Detection,Medium,You have detected a loop in a linked list. What is the standard method to remove the loop?,Delete the node where the pointers met.,"Set the ""next"" pointer of the last node in the loop to NULL.",Reverse the list from the meeting point.,Create a new node at the meeting point.,B
Loop Detection,Medium,"In Floyd's algorithm, if the list has a loop, why is it guaranteed that the slow and fast pointers will meet?",Because the fast pointer is always exactly one step ahead.,"Because of the relative speed difference, the distance between them decreases by 1 each step inside the loop.",Because the fast pointer eventually becomes the slow pointer.,Because the list sorts itself.,B
Loop Detection,Medium,"If a linked list has a loop, and you set the ""next"" pointer of the node where the pointers met to NULL, will this always remove the loop correctly?","Yes, always.","No, this will only remove the loop if the meeting point is the start of the loop.","No, this will corrupt the list.","Yes, because the meeting point is always the last node.",B
Loop Detection,Medium,"What is a ""self-loop"" in a linked list?",A list where every node points to itself.,A node whose `next` pointer points to itself.,A loop that spans the entire list.,A loop with a length of 2.,B
Loop Detection,Medium,What is the time complexity of finding the start of the loop after the initial detection in Floyd's algorithm?,O(n^2),O(n),O(log n),O(1),B
Loop Detection,Hard,"In Floyd's algorithm, let the distance from head to loop start be `d`, and the distance from loop start to meeting point be `k`. If the loop length is `L`, which of these equations holds true at the meeting point?",d = k,2(d + k) = d + k + nL,d + k = nL,d = nL - k,B
Loop Detection,Hard,"Given a linked list with a loop, which of the following operations is not possible without first breaking the loop?",Finding the 3rd node from the end,Finding the middle element,Counting the total number of nodes in the list,Finding the maximum value in the list,A
Loop Detection,Hard,What is the minimum number of pointers required to detect a loop in a singly linked list using Floyd's algorithm?,1,2,3,4,B
Loop Detection,Hard,Consider a modified version of Floyd's algorithm where the fast pointer moves three steps for every one step of the slow pointer. Will this algorithm still guarantee detection of a loop?,"No, it will never detect a loop.","Yes, but it will be less efficient.","Yes, but only if the loop length is odd.","No, it will always skip the meeting point.",B
Loop Detection,Hard,What is the maximum number of nodes a fast pointer can skip over before a loop is detected in standard Floyd's algorithm?,0,1,2,It depends on the loop length.,D
Loop Detection,Hard,You are given a linked list where the last node's next pointer points to the head (circular list). Where will the slow and fast pointers meet in Floyd's algorithm?,At the head node,At the last node,At the second node,At a random node within the loop,A
Loop Detection,Hard,"If a linked list has a loop, and the distance from the head to the start of the loop is `m`, and the loop length is `l`, what is the time complexity of Floyd's algorithm in terms of `m` and `l`?",O(m),O(l),O(m + l),O(m * l),C
Loop Detection,Hard,Which of the following is a disadvantage of using a Hash Set for loop detection?,It cannot detect the start of the loop.,It requires O(n) extra space.,It is slower than Floyd's algorithm in all cases.,It only works on sorted lists.,B
Loop Detection,Hard,"In the provided code snippet for loop detection, after removing the loop, what should the last node's next pointer be set to?",The head,The node where the loop started,NULL,The node after the start of the loop,C
Loop Detection,Hard,"For a linked list with a loop, which of the following statements is true?",The tail node is always part of the loop.,The head node is always part of the loop.,The node where the pointers meet is always the start of the loop.,The number of nodes traversed before the pointers meet is always equal to the length of the list.,A
Segregate even & odd nodes in a LL,Easy,"In the context of segregating even and odd nodes in a linked list, what are we typically segregating based on?",The data value of the node (numerical value),The memory address of the node,The position (index) of the node,The color of the node,A
Segregate even & odd nodes in a LL,Easy,"Given a linked list: 1->2->3->4->5, after segregating even and odd nodes (keeping relative order), what will the list look like?",1->3->5->2->4,2->4->1->3->5,5->3->1->4->2,1->2->3->4->5,B
Segregate even & odd nodes in a LL,Easy,What is a common approach to segregate even and odd nodes without using extra space?,Creating two new linked lists and merging them,Using an array to store nodes,Swapping data between nodes,Using recursion,A
Segregate even & odd nodes in a LL,Easy,"When segregating even and odd nodes, which of these is NOT typically maintained?","An ""evenStart"" pointer","An ""oddStart"" pointer","An ""evenEnd"" pointer","A ""middle"" pointer",D
Segregate even & odd nodes in a LL,Easy,"What does the ""evenEnd"" pointer point to in the segregation algorithm?",The first even node in the list,The last even node in the list,The node before the first even node,The node after the last even node,B
Segregate even & odd nodes in a LL,Easy,"In the segregation algorithm, what is the purpose of the ""oddStart"" pointer?",To traverse the original list,To mark the beginning of the odd node sublist,To mark the end of the odd node sublist,To point to the next odd node to be processed,B
Segregate even & odd nodes in a LL,Easy,"After segregating evens first and odds later, what should the ""next"" pointer of the last even node point to?",NULL,The first odd node,The head of the list,The last odd node,B
Segregate even & odd nodes in a LL,Easy,What is the time complexity of the standard algorithm to segregate even and odd nodes?,O(n^2),O(n log n),O(n),O(1),C
Segregate even & odd nodes in a LL,Easy,What is the space complexity of the standard in-place algorithm to segregate even and odd nodes?,O(n),O(log n),O(1),O(n log n),C
Segregate even & odd nodes in a LL,Easy,"If a linked list contains only even numbers, what will be the result of the segregation algorithm?",The list will be reversed,The list will remain unchanged,All nodes will be moved to the odd list,An error will occur,B
Segregate even & odd nodes in a LL,Medium,"In the segregation algorithm, if we traverse the list and find an even node, where do we append it?",At the beginning of the odd list,At the end of the existing even list,At the end of the original list,Before the current node,B
Segregate even & odd nodes in a LL,Medium,"Consider the list: 1->1->2->2. After segregating evens and odds, what is the correct order?",1->1->2->2,2->2->1->1,1->2->1->2,2->1->2->1,B
Segregate even & odd nodes in a LL,Medium,"What is a potential pitfall if you forget to set the ""next"" pointer of the last node in the new list to NULL after segregation?",The list will become sorted,The list may contain a cycle,The list will lose all odd nodes,The list will become doubly linked,B
Segregate even & odd nodes in a LL,Medium,"In a singly linked list, if the head node itself contains an even value, how does the algorithm handle it?",The head becomes the start of the even list,It swaps it with the first odd node,It moves it to the end of the even list,The algorithm fails,A
Segregate even & odd nodes in a LL,Medium,What is the advantage of segregating nodes (by changing links) rather than swapping data values?,It is faster in all cases,It preserves the structure if node data is large or complex,It requires less code,It automatically sorts the list,B
Segregate even & odd nodes in a LL,Medium,"Given a list: 2->4->6->1->3, what is the state of the list after the first pass of the segregation algorithm (before final linking)?",Two separate lists: 2->4->6 and 1->3,One combined list: 2->4->6->1->3,Two separate lists: 2->1->4->3->6,The list is reversed,A
Segregate even & odd nodes in a LL,Medium,"After segregation, if there are no odd nodes, what should the next pointer of the last even node point to?",The first even node,NULL,The head,The last even node,B
Segregate even & odd nodes in a LL,Medium,Which of the following is a necessary condition for the standard in-place segregation algorithm to work?,The list must be sorted,The list must be circular,The list must be singly linked,The list must contain at least 5 nodes,C
Segregate even & odd nodes in a LL,Medium,"In the segregation algorithm, why do we need to maintain both start and end pointers for the even and odd lists?",To count the number of nodes,To enable O(1) time complexity for appending new nodes to the sublists,To sort the sublists,To reverse the sublists,B
Segregate even & odd nodes in a LL,Medium,What will be the output after segregating even and odd nodes in the list: 1->3->5->2->4?,1->3->5->2->4,2->4->1->3->5,1->2->3->4->5,5->3->1->4->2,B
Segregate even & odd nodes in a LL,Hard,"In the algorithm where we build two separate lists, what is the worst-case number of pointer updates required?",n,n/2,2n,n^2,A
Segregate even & odd nodes in a LL,Hard,"Consider a list where all nodes are odd. If you run the standard segregation algorithm, what will the ""evenStart"" pointer point to?",The head of the list,The last node,NULL,The first odd node,C
Segregate even & odd nodes in a LL,Hard,"If the list is: 2 (head) -> 4 -> 1 -> 3 -> 6, what is the sequence of nodes visited by the traversal pointer in the first iteration after initialization?","2, 4, 1, 3, 6","2, 4, 1, 3","4, 1, 3, 6","2, 4, 2006",A
Segregate even & odd nodes in a LL,Hard,"In a recursive approach to segregation, what would be a major drawback compared to the iterative approach?",Higher time complexity,Higher space complexity due to call stack,Inability to handle large data,It cannot preserve order,B
